Device DUMMY	"GT-N7000"	"One X"	"Nexus 10 Tablet"	"Desire S"	"Desire C"	"PC - Firefox"	"PC - Chrome"	"PC - Chromium"	"A200 Tablet"	"Galaxy Nexus"	"Desire"	"Ideos X3"
#"xmlDownload" 0	175.9	142.5	47.2	154.6	968.8	157	25.6	22.6	58.2	18.6	264.6	150.8
"xmlParsing" 0	1050.7	388.9	325.2	649.6	1398.6	0	89.6	107.6	519.9	500.6	1571	2594.6
#"svgDownload" 0	0	0	0	0	0	0	0	0	0	0	0	0
"svgRender" 0	4659.6	2726.7	1466.2	6333.7	9181.7	914.1	718.9	873	4266.7	2745.3	9267.8	15163.4
"drawOverlay" 0	8248.6	5301.5	2040.1	9204.3	15794.3	2216.4	687.4	638.9	7254	7009.3	36096.2	27426.2
#"rest" 0	15.3	10	6	41.4	53.6	1.8	2.2	1.9	14.7	8	52.9	75
